name,artists,genres,release_year,duration,popularity,Danceability,Energy,Key,Liveness,Valence,Tempo,Time Signature
Abergavenny,Marty Wilde,"brill building pop,merseybeat,rock-and-roll",2010-01-01,168000,33,0.609,0.895,11.0,0.522,0.792,123.102,4.0
That's All You Gotta Do,Brenda Lee,"adult standards,easy listening,lounge,rockabilly",2015-03-06,145480,9,0.587,0.65,1.0,0.105,0.96,98.137,4.0
Its Alright,Deni Hines,"australian dance,australian pop",2002,213360,44,0.66,0.88,11.0,0.15,0.862,103.395,4.0
Metal Guru,T. Rex,"classic rock,glam rock,protopunk,rock",1972-07-21,149786,50,0.307,0.95,11.0,0.313,0.524,127.895,4.0
Heaven Is A Place On Earth,Belinda Carlisle,"new romantic,new wave pop,soft rock",1987,246520,74,0.64,0.852,1.0,0.0497,0.793,122.902,4.0
Paper In Fire,John Mellencamp,"album rock,classic rock,country rock,folk rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock",1987,231200,0,0.607,0.905,4.0,0.0624,0.533,141.985,4.0
Wrecking Ball,Miley Cyrus,pop,2013-08-25,223240,0,0.466,0.403,5.0,0.111,0.337,119.81,4.0
Deep End,Birdy,"neo mellow,uk pop",2016-03-25,208840,35,0.455,0.296,2.0,0.0783,0.31,171.744,4.0
Stay The Night - Featuring Hayley Williams Of Paramore,"Zedd, Hayley Williams","complextro,edm,german techno,pop,pop dance,art pop",2014-01-01,217346,67,0.596,0.738,8.0,0.0947,0.461,127.961,4.0
Californication,Red Hot Chili Peppers,"alternative rock,funk metal,funk rock,permanent wave,rock",1999-06-08,329733,63,0.592,0.767,9.0,0.127,0.328,96.483,4.0
We Will Rock You - Remastered 2011,Queen,"classic rock,glam rock,rock",1977-10-28,122066,82,0.692,0.497,2.0,0.259,0.475,81.308,4.0
My Island Home,Warumpi Band,"australian indigenous,australian rock",1987-04-03,297800,47,0.488,0.364,7.0,0.0756,0.544,79.707,4.0
7 Days,Craig David,british soul,2000-08-14,235133,74,0.659,0.812,4.0,0.0951,0.888,83.014,4.0
Shoop Shoop Diddy Wop Cumma Cumma Wang Dang,Monte Video,,1983-12-01,159184,28,0.706,0.695,2.0,0.0496,0.972,181.337,4.0
Regardless,"Jarryd James, Julia Stone","australian alternative pop,australian r&b,australian singer-songwriter",2015-09-11,273493,30,0.672,0.393,9.0,0.105,0.319,130.086,4.0
Convoy,C.W. McCall,"classic country pop,country rock,truck-driving country",1990-01-01,230600,64,0.68,0.543,5.0,0.0881,0.796,111.62,4.0
Pretty Flamingo,Manfred Mann,"british blues,british invasion,classic rock,singer-songwriter",1966-01-01,150106,0,0.553,0.594,7.0,0.743,0.841,113.506,4.0
You Know I'm No Good,Amy Winehouse,"british soul,neo soul",2006-01-01,256946,0,0.705,0.806,9.0,0.0701,0.734,103.383,4.0
Turn Around (feat. Ne-Yo),"Conor Maynard, Ne-Yo","post-teen pop,uk pop,viral pop,dance pop,pop,r&b,urban contemporary",2012-10-05,232385,31,0.59,0.874,6.0,0.134,0.607,125.018,4.0
Morning After Dark (Featuring Nelly Furtado & SoShy),Timbaland,"dance pop,pop,pop rap",2009-01-01,231960,0,0.734,0.927,8.0,0.0465,0.901,118.039,4.0
Somebody That I Used To Know,"Gotye, Kimbra","australian pop,bergen indie,electropop,nz pop",2011-01-01,244893,67,0.864,0.515,0.0,0.0947,0.755,129.048,4.0
Matthew & Son - Stereo Version,Yusuf / Cat Stevens,"british folk,classic rock,folk,folk rock,mellow gold,singer-songwriter",1967-03-10,161840,0,0.534,0.327,4.0,0.281,0.767,139.867,4.0
Heaven & Hell - US Single Version,The Easybeats,"australian rock,british blues,freakbeat,protopunk,psychedelic rock",1967-01-01,162106,11,0.483,0.676,9.0,0.297,0.502,116.418,4.0
You Are The Sunshine Of My Life,Stevie Wonder,"motown,soul",2007-01-01,177306,0,0.471,0.574,11.0,0.0931,0.661,131.892,4.0
Too Good At Goodbyes,Sam Smith,"pop,uk pop",2017-11-03,201000,87,0.681,0.372,5.0,0.169,0.476,91.873,4.0
You're the One,Petula Clark,"adult standards,bubblegum pop,easy listening,folk rock,merseybeat,rock-and-roll,rockabilly",1997-01-01,143834,22,0.485,0.721,5.0,0.67,0.88,136.892,4.0
We Made You,Eminem,"detroit hip hop,hip hop,rap",2009-05-15,269613,66,0.924,0.853,2.0,0.129,0.67,114.003,4.0
Round Round,Sugababes,"dance pop,europop,girl group,talent show",2002-01-01,237053,0,0.735,0.859,6.0,0.111,0.758,126.587,4.0
Juju on That Beat (TZ Anthem),"Zay Hilfigerrr, Zayion McCall",viral trap,2016-09-30,144244,61,0.807,0.887,1.0,0.391,0.78,160.517,4.0
Poker Face,Lady Gaga,"art pop,dance pop,pop",2008-01-01,237200,0,0.851,0.806,4.0,0.121,0.776,119.001,4.0
It Must Be Love,Madness,"britpop,new wave,ska,ska revival",1981-10-02,206266,58,0.536,0.606,7.0,0.255,0.719,146.425,4.0
The Wild Colonial Boy,Dr. Hook,"country rock,mellow gold,soft rock",2015-04-17,266669,19,0.448,0.312,1.0,0.0848,0.403,158.27,3.0
You Talk Too Much,Joe Jones,novelty,2010-07-01,152706,13,0.719,0.639,8.0,0.075,0.727,128.272,1.0
Can't Get Enough Of You Baby,Smash Mouth,"pop rock,post-grunge",2005-01-01,151106,0,0.662,0.891,6.0,0.448,0.823,123.728,4.0
One In A Million,"Jordie Ireland, Ava Hayz",,2018-05-04,178424,27,0.748,0.551,5.0,0.096,0.334,104.175,4.0
Life Is A Highway,Tom Cochrane,"canadian singer-songwriter,classic canadian rock,mellow gold",1992,266560,65,0.683,0.751,5.0,0.248,0.841,103.036,4.0
IDGAF,Dua Lipa,"dance pop,pop,uk pop",2017-06-02,217946,83,0.836,0.544,7.0,0.0824,0.51,97.028,4.0
As Long as You Love Me,Backstreet Boys,"boy band,dance pop,pop",1997-10-09,221106,0,0.804,0.801,0.0,0.215,0.826,98.12,4.0
Come & Get It,Selena Gomez,"pop,post-teen pop",2013-01-01,231986,0,0.349,0.795,7.0,0.0812,0.542,148.985,1.0
Temperature,Sean Paul,"dance pop,dancehall,pop,pop rap",2005-09-26,218573,84,0.951,0.6,0.0,0.0712,0.822,125.04,4.0
Philadelphia Freedom,Elton John,"glam rock,mellow gold,piano rock,rock",1975-05-19,321933,0,0.702,0.626,0.0,0.072,0.799,125.199,4.0
Who Dat Girl (feat. Akon),"Flo Rida, Akon","dance pop,miami hip hop,pop,pop rap,dance pop",2010-11-24,200880,60,0.719,0.616,1.0,0.0742,0.625,124.963,4.0
True Colours,Kasey Chambers,"australian americana,australian country,australian rock",2011-09-23,225960,0,0.704,0.247,0.0,0.085,0.236,86.952,4.0
Set Adrift On Memory Bliss,P.M. Dawn,contemporary r&b,1999-04-23,211661,52,0.737,0.784,7.0,0.537,0.587,99.773,4.0
Don't You Worry Child,"Swedish House Mafia, John Martin","edm,pop dance,progressive electro house,pop edm",2012-01-01,403493,65,0.632,0.88,2.0,0.118,0.338,129.007,4.0
Colors Of The Wind - End Title,Vanessa Williams,"contemporary r&b,quiet storm,urban contemporary",1995-01-01,257933,54,0.574,0.238,7.0,0.126,0.126,84.018,4.0
Beneath Your Beautiful (feat. Emeli Sandé),"Labrinth, Emeli Sandé","indie poptimism,pop,r&b,talent show",2012-04-02,271813,72,0.561,0.522,2.0,0.104,0.238,83.962,4.0
Wouldn't It Be Nice,The Beach Boys,"baroque pop,classic rock,folk rock,mellow gold,psychedelic rock,rock,sunshine pop",1966-06-16,153205,73,0.392,0.629,5.0,0.129,0.72,124.511,4.0
Together,Sia,"australian dance,australian pop,pop",2020-05-20,205207,64,0.521,0.877,7.0,0.0929,0.199,180.007,4.0
Sweat - Remix,"Snoop Dogg, David Guetta, Giorgio Tuinfort, Frederic Riesterer","g funk,gangster rap,hip hop,pop rap,rap,west coast rap,big room,dance pop,edm,pop,pop dance",2011-01-01,195986,73,0.813,0.732,7.0,0.0826,0.731,130.02,4.0
True - Single Edit,Spandau Ballet,"new romantic,new wave,new wave pop,sophisti-pop,synthpop",2008-04-25,329146,73,0.742,0.533,0.0,0.064,0.391,97.395,4.0
One,Ed Sheeran,"pop,singer-songwriter pop,uk pop",2014-06-21,252760,64,0.464,0.321,2.0,0.0789,0.306,93.528,4.0
Stay,"Zedd, Alessia Cara","complextro,edm,german techno,pop,pop dance,canadian contemporary r&b,canadian pop,pop",2017-02-23,210090,79,0.69,0.622,5.0,0.116,0.544,102.04,4.0
Oh My Goodness,Olly Murs,"dance pop,pop,talent show",2011-11-28,184013,43,0.638,0.803,8.0,0.169,0.756,128.035,4.0
Titanium (feat. Sia),"David Guetta, Sia","big room,dance pop,edm,pop,pop dance,australian dance,australian pop,pop",2011-08-31,245040,63,0.604,0.788,0.0,0.127,0.301,126.06,4.0
Dream Girl,David Jones,,1965,136293,7,0.617,0.658,0.0,0.293,0.949,128.363,4.0
View From a Bridge,Kim Wilde,"new romantic,new wave,new wave pop",1996-03-18,210946,17,0.593,0.834,2.0,0.115,0.813,148.719,4.0
Wrapped Up (feat. Travie McCoy),"Olly Murs, Travie McCoy","dance pop,pop,talent show,pop rap",2014-11-21,185640,0,0.787,0.848,1.0,0.15,0.947,121.989,4.0
you broke me first,Tate McRae,"alt z,pop",2020-04-17,169265,85,0.667,0.373,4.0,0.0906,0.0823,124.148,4.0
Like It Like That,Guy Sebastian,"australian pop,australian talent show",2009-10-23,241973,50,0.585,0.973,2.0,0.262,0.958,161.05,4.0
No Pressure,"Justin Bieber, Big Sean","canadian pop,pop,detroit hip hop,hip hop,pop rap,r&b,rap,trap",2015-11-13,286853,0,0.644,0.595,1.0,0.279,0.554,148.889,3.0
I Wanna Be With You,Mandy Moore,"dance pop,neo mellow,post-teen pop",2000-05-09,252600,58,0.515,0.908,8.0,0.412,0.637,150.031,4.0
I'm In Control,"AlunaGeorge, Popcaan","electropop,house,uk dance,dancehall,jamaican hip hop,reggae fusion,traphall",2016-09-16,209426,55,0.725,0.844,11.0,0.125,0.711,104.001,4.0
Can't Remember to Forget You,"Shakira, Rihanna","colombian pop,dance pop,latin pop,pop,barbadian pop,pop,urban contemporary",2014-03-21,206866,0,0.694,0.81,11.0,0.141,0.824,137.968,4.0
"It Ain't Me, Babe (with June Carter Cash)","Johnny Cash, June Carter Cash","arkansas country,outlaw country,rock,country",2002-02-12,182960,51,0.634,0.587,2.0,0.165,0.623,105.642,4.0
Forever Young,Youth Group,,2007-01-30,239120,54,0.379,0.664,11.0,0.0915,0.301,115.272,4.0
It's Too Late,Carole King,"brill building pop,classic rock,folk,folk rock,mellow gold,singer-songwriter,soft rock",1971,233173,72,0.45,0.442,9.0,0.134,0.812,208.282,4.0
Billionaire (feat. Bruno Mars),"Travie McCoy, Bruno Mars","pop rap,dance pop,pop",2010-03-09,211160,76,0.633,0.673,6.0,0.206,0.659,86.776,4.0
Star Wars Theme/Cantina Band,Meco,,1977-01-01,212306,40,0.677,0.915,0.0,0.322,0.545,124.929,4.0
Jump In My Car,Ted Mulry Gang,australian rock,2011,181946,49,0.769,0.721,2.0,0.316,0.857,123.057,4.0
Safe And Sound,Capital Cities,"metropopolis,modern rock",2013,192789,0,0.653,0.822,0.0,0.0838,0.762,117.949,5.0
Witchcraft,Pendulum,"australian dance,dancefloor dnb,drum and bass",2010-05-21,252786,64,0.42,0.969,1.0,0.379,0.182,174.038,4.0
'74-'75,The Connells,jangle pop,1993-01-01,278973,0,0.53,0.59,11.0,0.0675,0.43,144.202,4.0
Two Princes,Spin Doctors,"alternative rock,pop rock,post-grunge",1991-08-27,256733,74,0.543,0.912,7.0,0.0565,0.836,103.731,4.0
Sorry,Toni Braxton,"contemporary r&b,dance pop,r&b,urban contemporary",2018-03-23,236000,37,0.699,0.68,4.0,0.11,0.578,94.979,4.0
I Begin to Wonder,Dannii Minogue,"australian dance,australian pop,europop,talent show",2003-03-03,219999,0,0.768,0.741,1.0,0.242,0.95,125.06,4.0
iYiYi (feat. Flo Rida),"Cody Simpson, Flo Rida","australian pop,pop,post-teen pop,dance pop,miami hip hop,pop,pop rap",2010-12-20,235800,43,0.629,0.721,5.0,0.349,0.787,159.951,4.0
This Is Tomorrow,Bryan Ferry,"glam rock,melancholia,new romantic,new wave,new wave pop,solo wave,sophisti-pop",1977,220133,37,0.421,0.66,8.0,0.0948,0.512,119.46,4.0
Impossible,James Arthur,"pop,talent show,uk pop",2013-11-04,209440,81,0.376,0.695,0.0,0.11,0.302,169.533,4.0
Hello - Edited Version,"Stafford Brothers, Lil Wayne, Christina Milian","australian dance,hip hop,new orleans rap,pop rap,rap,trap,dance pop,hip pop,post-teen pop,r&b,urban contemporary",2012-01-01,207013,20,0.653,0.845,4.0,0.921,0.552,123.086,4.0
"I'll Be There (feat. Trey Lorenz) - Live at MTV Unplugged, Kaufman Astoria Studios, New York - March 1992","Mariah Carey, Trey Lorenz","dance pop,pop,urban contemporary,contemporary r&b",2017-02-03,264240,11,0.216,0.544,5.0,0.882,0.301,75.017,4.0
working,"Tate McRae, Khalid","alt z,pop,pop,pop r&b",2021-06-17,210219,65,0.783,0.435,7.0,0.0833,0.512,106.974,4.0
Love Me Like You,Little Mix,"girl group,pop,talent show,uk pop",2015-09-25,197800,0,0.783,0.67,7.0,0.274,0.842,106.05,4.0
death bed (coffee for your head),"Powfu, beabadoobee","sad lo-fi,sad rap,bedroom pop,bubblegrunge,indie pop,pov: indie",2020-02-08,173333,84,0.726,0.431,8.0,0.696,0.348,144.026,4.0
Borrow My Heart,Taylor Henderson,"australian pop,australian talent show",2013-12-02,212626,43,0.571,0.714,11.0,0.478,0.741,122.955,4.0
Always,Samantha Jade,"australian pop,australian talent show",2015-11-20,181880,30,0.648,0.72,11.0,0.0717,0.594,108.012,4.0
Nasty Girl - Main,Nitty,bronx hip hop,2005-01-01,248466,0,0.937,0.98,2.0,0.0273,0.939,122.007,4.0
Always On Time,"Ja Rule, Ashanti","dance pop,east coast hip hop,gangster rap,hip hop,hip pop,pop rap,queens hip hop,rap,urban contemporary,dance pop,hip pop,r&b,urban contemporary",2001-01-01,245133,52,0.839,0.706,5.0,0.242,0.839,96.673,4.0
Cream - Without Rap Monologue,Prince,"funk,funk rock,minneapolis sound,rock,synth funk",1991-10-01,253373,57,0.852,0.591,5.0,0.0468,0.826,115.592,4.0
Love Action (I Believe In Love),The Human League,"new romantic,new wave,new wave pop,permanent wave,sophisti-pop,synthpop",1981,301826,56,0.702,0.588,0.0,0.184,0.728,121.738,4.0
Never Gonna Fall in Love Again - Live,Mark Holden,,2005,300240,10,0.557,0.38,0.0,0.0989,0.569,99.83,4.0
You Should Hear How She Talks About You,Melissa Manchester,"soft rock,yacht rock",1982,256386,45,0.753,0.834,4.0,0.259,0.852,131.909,4.0
(Everything I Do) I Do It For You,Bryan Adams,"canadian pop,canadian singer-songwriter,classic canadian rock,heartland rock,mellow gold,soft rock",1991-09-24,393640,0,0.52,0.363,1.0,0.0609,0.273,131.224,4.0
I've Gotta Get A Message To You,Bee Gees,"disco,mellow gold,soft rock",1968-08-11,177440,59,0.442,0.596,2.0,0.172,0.497,83.414,4.0
I Wish I Was a Punk Rocker (with Flowers in My Hair),Sandi Thom,"candy pop,scottish singer-songwriter",2006-06-05,151640,63,0.7,0.465,4.0,0.606,0.719,108.102,4.0
Heart of Gold - 2017 Remaster,Neil Young,"canadian singer-songwriter,classic canadian rock,classic rock,folk rock,mellow gold,permanent wave,rock,roots rock,singer-songwriter",1977,187013,0,0.542,0.444,4.0,0.102,0.827,171.719,4.0
Shake Ya Tailfeather - Radio,"Murphy Lee, Nelly, Diddy","dirty south rap,st louis rap,dance pop,gangster rap,hip hop,pop rap,rap,st louis rap,urban contemporary,dance pop,east coast hip hop,hip hop,hip pop,pop rap,rap",2003-01-01,295173,0,0.715,0.733,1.0,0.157,0.897,87.665,4.0
Come Home with Me,Guy Sebastian,"australian pop,australian talent show",2014-11-21,204400,35,0.706,0.719,2.0,0.0377,0.495,126.112,4.0
Drop the Boy,Bros,"new romantic,new wave pop",2013-11-08,248066,30,0.553,0.843,7.0,0.0818,0.834,177.113,4.0
See You Again (feat. Charlie Puth),"Wiz Khalifa, Charlie Puth","hip hop,pittsburgh rap,pop rap,rap,southern hip hop,trap,pop,viral pop",2016-01-29,229525,62,0.689,0.481,10.0,0.0649,0.283,80.025,4.0
Now That We Found Love,"Heavy D & The Boyz, Aaron Hall","contemporary r&b,east coast hip hop,new jack swing,old school hip hop,contemporary r&b,new jack swing,r&b",1991-01-01,258200,65,0.744,0.697,8.0,0.171,0.683,119.955,4.0
Call Out My Name,The Weeknd,"canadian contemporary r&b,canadian pop,pop",2018-03-30,228373,0,0.449,0.599,1.0,0.327,0.165,134.144,3.0
Love Letters,Billy Thorpe & The Aztecs,australian rock,1995-01-01,194880,12,0.379,0.494,10.0,0.204,0.231,142.342,3.0
Respect,Aretha Franklin,"classic soul,jazz blues,memphis soul,neo soul,soul,southern soul,vocal jazz",1967-03-10,147600,80,0.805,0.558,0.0,0.0546,0.965,114.95,4.0
"Doin' The Do - 7"" Radio Mix",Betty Boo,hip house,1990-04-02,222253,37,0.801,0.961,10.0,0.0639,0.909,120.378,4.0
Sweet Caroline,Neil Diamond,"adult standards,brill building pop,folk rock,heartland rock,mellow gold,singer-songwriter,soft rock,yacht rock",1969,203573,0,0.529,0.127,11.0,0.237,0.578,63.05,4.0
Call Me,Blondie,"candy pop,new wave pop,permanent wave,power pop,rock,synthpop",1999-01-01,212600,77,0.56,0.825,2.0,0.0892,0.74,142.669,4.0
Don't Take It Personal (Just One of Dem Days),Monica,"contemporary r&b,hip pop,r&b,urban contemporary",1995-07-18,258466,61,0.731,0.355,8.0,0.0579,0.529,175.72,4.0
48 Crash,Suzi Quatro,glam rock,1999-07-19,233413,0,0.643,0.765,2.0,0.169,0.868,137.979,4.0
My Hero,Foo Fighters,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock",1997-05-20,260026,79,0.398,0.927,9.0,0.0575,0.311,77.106,4.0
50 Ways to Say Goodbye,Train,"dance pop,neo mellow,pop,pop rock",2012-04-17,247946,71,0.591,0.935,6.0,0.142,0.736,140.043,4.0
Counting Stars,OneRepublic,"piano rock,pop",2013-01-01,257266,15,0.662,0.71,1.0,0.119,0.465,121.979,4.0
House of the Rising Sun,Frijid Pink,"british blues,detroit rock,proto-metal,psychedelic blues-rock,psychedelic rock",2018-05-10,269933,33,0.254,0.761,7.0,0.265,0.412,118.752,4.0
Do It Again,The Chemical Brothers,"alternative dance,big beat,breakbeat,electronica,rave,trip hop",2007-06-27,332973,54,0.867,0.714,4.0,0.104,0.623,123.974,4.0
Together We Are Beautiful,Fern Kinney,,1979-03-15,257213,42,0.761,0.484,10.0,0.189,0.826,110.45,4.0
Keep It Comin' Love,KC & The Sunshine Band,"disco,mellow gold,new wave pop,soft rock,soul",2004-10-26,271493,54,0.773,0.721,3.0,0.0349,0.971,110.383,4.0
Stay Awhile,The Bells,classic canadian rock,2018-01-19,204333,0,0.558,0.268,11.0,0.0863,0.432,84.559,4.0
Me Myself & I,Scandal'us,australian pop,2001-05-13,187493,0,0.709,0.869,1.0,0.0769,0.773,99.906,4.0
Be the One,Dua Lipa,"dance pop,pop,uk pop",2017-06-02,202914,69,0.661,0.651,7.0,0.056,0.368,87.46,4.0
Don't You Worry Child - Radio Edit,"Swedish House Mafia, John Martin","edm,pop dance,progressive electro house,pop edm",2012-09-14,212862,85,0.612,0.84,11.0,0.116,0.438,129.042,4.0
Private Idaho,The B-52's,"album rock,classic rock,dance rock,new romantic,new wave,new wave pop,permanent wave,post-punk,rock,zolo",1980,216360,59,0.551,0.882,2.0,0.322,0.888,166.403,4.0
I Never Told You,Colbie Caillat,"dance pop,neo mellow,pop",2009-01-01,232960,55,0.498,0.634,3.0,0.3,0.36,144.104,4.0
Saving All My Love For You,Dami Im,"australian pop,australian talent show,talent show",2013-11-15,184840,36,0.334,0.557,6.0,0.106,0.362,197.622,3.0
BLOW (with Chris Stapleton & Bruno Mars),"Ed Sheeran, Chris Stapleton, Bruno Mars","pop,singer-songwriter pop,uk pop,contemporary country,outlaw country,dance pop,pop",2019-07-05,209120,66,0.631,0.796,1.0,0.38,0.596,92.469,4.0
Wonderful,"Ja Rule, R. Kelly, Ashanti","dance pop,east coast hip hop,gangster rap,hip hop,hip pop,pop rap,queens hip hop,rap,urban contemporary,dance pop,hip pop,r&b,urban contemporary",2004-01-01,270506,0,0.663,0.777,11.0,0.0466,0.758,92.681,4.0
Up/Down,Jessica Mauboy,"australian indigenous,australian pop,australian talent show",2008-11-17,206226,24,0.69,0.883,1.0,0.344,0.642,123.123,4.0
More Than This,Roxy Music,"art rock,glam rock,melancholia,new romantic,new wave,new wave pop,sophisti-pop",1982-05-01,270651,71,0.653,0.666,6.0,0.139,0.765,128.505,4.0
Every Time I Close My Eyes (with Kenny G),"Babyface, Kenny G","contemporary r&b,r&b,urban contemporary,smooth jazz,smooth saxophone",1996-10-29,296266,65,0.654,0.417,5.0,0.0963,0.279,143.676,4.0
"Uptown Festival - 7"" Version",Shalamar,"disco,funk,motown,new jack swing,post-disco,quiet storm,soul,urban contemporary",2000-01-01,236093,13,0.768,0.815,9.0,0.065,0.907,125.393,4.0
Free,Ultra Naté,"diva house,garage house,vocal house",1998-04-27,353360,62,0.757,0.905,5.0,0.0357,0.621,125.002,4.0
Have You Ever Really Loved A Woman?,Bryan Adams,"canadian pop,canadian singer-songwriter,classic canadian rock,heartland rock,mellow gold,soft rock",1996-06-04,291666,0,0.569,0.472,7.0,0.1,0.346,145.513,3.0
Problem,"Ariana Grande, Iggy Azalea","pop,australian hip hop,dance pop,pop",2014-08-25,193920,79,0.66,0.805,1.0,0.159,0.625,103.008,4.0
No More Lonely Nights (Ballad),Paul McCartney,"beatlesque,classic rock,mellow gold,rock",1984-10-22,312733,0,0.32,0.426,5.0,0.64,0.429,175.895,4.0
Scars,Papa Roach,"alternative metal,nu metal,rap metal,rap rock,rock",2004-01-01,208186,71,0.384,0.921,11.0,0.168,0.471,89.922,4.0
One Track Mind,Bobby Lewis,"doo-wop,rhythm and blues",2003-01-01,128533,3,0.571,0.636,10.0,0.0748,0.96,145.241,3.0
Cheap Wine - 2011 Remastered,Cold Chisel,australian rock,1980,205131,60,0.681,0.889,0.0,0.207,0.833,123.661,4.0
I'm Every Woman,Whitney Houston,dance pop,1992-11-17,285106,65,0.665,0.847,5.0,0.126,0.4,119.555,4.0
"Because I Got High - From ""Jay And Silent Bob Strike Back"" Soundtrack",Afroman,comedy rap,2010-01-01,199013,0,0.799,0.314,7.0,0.158,0.842,166.064,4.0
Love is a Beautiful Song,Dave Mills,,1983,259800,0,0.405,0.517,0.0,0.0918,0.325,102.678,3.0
You Belong To Me - JX Mix,JX,,1969,466906,25,0.724,0.804,1.0,0.214,0.437,141.86,4.0
Blister in the Sun - 2002 Remastered Version,Violent Femmes,"acoustic punk,alternative rock,punk",1983,144333,0,0.701,0.261,0.0,0.0821,0.89,97.042,4.0
